                                   | Core 0     
  Instructions                     |   499999921
  Cycles                           |  8200260380
  IPC                              |        0.06
  Time (ns)                        |  3153946300
  Idle time (ns)                   |         -95
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |   108400720
  num incorrect                    |     9563639
  misprediction rate               |       8.11%
  mpki                             |       19.13
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    56483165
    num misses                     |          24
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   229397389
    num misses                     |    45910099
    miss rate                      |      20.01%
    mpki                           |       91.82
  L2 TLB                           |            
    num accesses                   |    45910123
    num misses                     |    39812831
    miss rate                      |      86.72%
    mpki                           |       79.63
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   129289316
    num cache misses               |    26501403
    miss rate                      |      20.50%
    mpki                           |       53.00
DRAM summary                       |            
  num dram accesses                |   122925971
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |   111395770
  num loads from dram cache        |           0
  num loads from remote cache      |           0
