                                   | Core 0     
  Instructions                     |   499999921
  Cycles                           |  8153894580
  IPC                              |        0.06
  Time (ns)                        |  3136113300
  Idle time (ns)                   |          -1
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |   108400720
  num incorrect                    |     9563639
  misprediction rate               |       8.11%
  mpki                             |       19.13
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    56483165
    num misses                     |          24
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   229397390
    num misses                     |    45868228
    miss rate                      |      20.00%
    mpki                           |       91.74
  L2 TLB                           |            
    num accesses                   |    45868252
    num misses                     |    32197208
    miss rate                      |      70.19%
    mpki                           |       64.39
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   130298676
    num cache misses               |    27496498
    miss rate                      |      21.10%
    mpki                           |       54.99
DRAM summary                       |            
  num dram accesses                |   123926137
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |   112330019
  num loads from dram cache        |           0
  num loads from remote cache      |           0
