                                   | Core 0     
  Instructions                     |   499999990
  Cycles                           |  9288708260
  IPC                              |        0.05
  Time (ns)                        |  3572580100
  Idle time (ns)                   |         -38
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |    97689857
  num incorrect                    |    11932044
  misprediction rate               |      10.88%
  mpki                             |       23.86
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    77059579
    num misses                     |          16
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   247782511
    num misses                     |    37799139
    miss rate                      |      15.25%
    mpki                           |       75.60
  L2 TLB                           |            
    num accesses                   |    37799155
    num misses                     |    35291787
    miss rate                      |      93.37%
    mpki                           |       70.58
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   120000848
    num cache misses               |    25887642
    miss rate                      |      21.57%
    mpki                           |       51.78
DRAM summary                       |            
  num dram accesses                |   117741487
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |    96313346
  num loads from dram cache        |           0
  num loads from remote cache      |           0
