                                   | Core 0     
  Instructions                     |   499999990
  Cycles                           |  8813446460
  IPC                              |        0.06
  Time (ns)                        |  3389787100
  Idle time (ns)                   |         -54
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |    97689857
  num incorrect                    |    11932044
  misprediction rate               |      10.88%
  mpki                             |       23.86
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    77059579
    num misses                     |          16
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   247782511
    num misses                     |    38023946
    miss rate                      |      15.35%
    mpki                           |       76.05
  L2 TLB                           |            
    num accesses                   |    38023962
    num misses                     |    35808432
    miss rate                      |      94.17%
    mpki                           |       71.62
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   110850040
    num cache misses               |    18144576
    miss rate                      |      16.37%
    mpki                           |       36.29
DRAM summary                       |            
  num dram accesses                |   102907715
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |    88300872
  num loads from dram cache        |           0
  num loads from remote cache      |           0
