                                   | Core 0     
  Instructions                     |   499999921
  Cycles                           |  8197230340
  IPC                              |        0.06
  Time (ns)                        |  3152780900
  Idle time (ns)                   |         -27
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |   108400720
  num incorrect                    |     9563639
  misprediction rate               |       8.11%
  mpki                             |       19.13
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    56483165
    num misses                     |          24
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   229397390
    num misses                     |    45910225
    miss rate                      |      20.01%
    mpki                           |       91.82
  L2 TLB                           |            
    num accesses                   |    45910249
    num misses                     |    43163381
    miss rate                      |      94.02%
    mpki                           |       86.33
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   128392560
    num cache misses               |    25637161
    miss rate                      |      19.97%
    mpki                           |       51.27
DRAM summary                       |            
  num dram accesses                |   122031671
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |   110556971
  num loads from dram cache        |           0
  num loads from remote cache      |           0
