                                   | Core 0     
  Instructions                     |   499999990
  Cycles                           |  8883325620
  IPC                              |        0.06
  Time (ns)                        |  3416663700
  Idle time (ns)                   |         -42
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |    97689857
  num incorrect                    |    11932044
  misprediction rate               |      10.88%
  mpki                             |       23.86
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    77059579
    num misses                     |          16
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   247782511
    num misses                     |    38057629
    miss rate                      |      15.36%
    mpki                           |       76.12
  L2 TLB                           |            
    num accesses                   |    38057645
    num misses                     |    35953165
    miss rate                      |      94.47%
    mpki                           |       71.91
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   109161576
    num cache misses               |    16748735
    miss rate                      |      15.34%
    mpki                           |       33.50
DRAM summary                       |            
  num dram accesses                |   101225106
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |    86460803
  num loads from dram cache        |           0
  num loads from remote cache      |           0
