                                   | Core 0     
  Instructions                     |   499999921
  Cycles                           |  7809893520
  IPC                              |        0.06
  Time (ns)                        |  3003805200
  Idle time (ns)                   |         -63
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |   108400720
  num incorrect                    |     9563639
  misprediction rate               |       8.11%
  mpki                             |       19.13
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    56483165
    num misses                     |          24
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   229397390
    num misses                     |    45872449
    miss rate                      |      20.00%
    mpki                           |       91.74
  L2 TLB                           |            
    num accesses                   |    45872473
    num misses                     |    23572039
    miss rate                      |      51.39%
    mpki                           |       47.14
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   124656851
    num cache misses               |    22078172
    miss rate                      |      17.71%
    mpki                           |       44.16
DRAM summary                       |            
  num dram accesses                |   118283731
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |   106873333
  num loads from dram cache        |           0
  num loads from remote cache      |           0
