                                   | Core 0     
  Instructions                     |   499999921
  Cycles                           |  8206203980
  IPC                              |        0.06
  Time (ns)                        |  3156232300
  Idle time (ns)                   |         -81
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |   108400720
  num incorrect                    |     9563639
  misprediction rate               |       8.11%
  mpki                             |       19.13
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    56483165
    num misses                     |          24
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   229397390
    num misses                     |    45874922
    miss rate                      |      20.00%
    mpki                           |       91.75
  L2 TLB                           |            
    num accesses                   |    45874946
    num misses                     |    36624082
    miss rate                      |      79.83%
    mpki                           |       73.25
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   130347693
    num cache misses               |    27537813
    miss rate                      |      21.13%
    mpki                           |       55.08
DRAM summary                       |            
  num dram accesses                |   123979042
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |   112405438
  num loads from dram cache        |           0
  num loads from remote cache      |           0
