                                   | Core 0     
  Instructions                     |   499999921
  Cycles                           |  8130749640
  IPC                              |        0.06
  Time (ns)                        |  3127211400
  Idle time (ns)                   |         -32
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |   108400720
  num incorrect                    |     9563639
  misprediction rate               |       8.11%
  mpki                             |       19.13
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    56483165
    num misses                     |          24
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   229397390
    num misses                     |    45915402
    miss rate                      |      20.02%
    mpki                           |       91.83
  L2 TLB                           |            
    num accesses                   |    45915426
    num misses                     |    43180722
    miss rate                      |      94.04%
    mpki                           |       86.36
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   122483607
    num cache misses               |    20361803
    miss rate                      |      16.62%
    mpki                           |       40.72
DRAM summary                       |            
  num dram accesses                |   116118002
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |   104408260
  num loads from dram cache        |           0
  num loads from remote cache      |           0
