                                   | Core 0     
  Instructions                     |   499999921
  Cycles                           |  8440647280
  IPC                              |        0.06
  Time (ns)                        |  3246402800
  Idle time (ns)                   |         -81
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |   108400720
  num incorrect                    |     9563639
  misprediction rate               |       8.11%
  mpki                             |       19.13
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    56483165
    num misses                     |          24
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   229397390
    num misses                     |    45869855
    miss rate                      |      20.00%
    mpki                           |       91.74
  L2 TLB                           |            
    num accesses                   |    45869879
    num misses                     |    42998370
    miss rate                      |      93.74%
    mpki                           |       86.00
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   135831815
    num cache misses               |    31155153
    miss rate                      |      22.94%
    mpki                           |       62.31
DRAM summary                       |            
  num dram accesses                |   133265355
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |   116138649
  num loads from dram cache        |           0
  num loads from remote cache      |           0
