                                   | Core 0     
  Instructions                     |   499999921
  Cycles                           |  7990208200
  IPC                              |        0.06
  Time (ns)                        |  3073157000
  Idle time (ns)                   |         -62
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |   108400720
  num incorrect                    |     9563639
  misprediction rate               |       8.11%
  mpki                             |       19.13
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    56483165
    num misses                     |          24
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   229397390
    num misses                     |    45910307
    miss rate                      |      20.01%
    mpki                           |       91.82
  L2 TLB                           |            
    num accesses                   |    45910331
    num misses                     |    27385636
    miss rate                      |      59.65%
    mpki                           |       54.77
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   127932627
    num cache misses               |    25189780
    miss rate                      |      19.69%
    mpki                           |       50.38
DRAM summary                       |            
  num dram accesses                |   121559646
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |   109994575
  num loads from dram cache        |           0
  num loads from remote cache      |           0
